Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
57,186.79,345.03,359.19,845.06,1150.11,707.25
123,150.66,360.64,495.64,920.37,928.01,451.7
221,405.06,303.83,667.3,1084.49,988.75,366.43
59.44,180,535.09,269.52,1649.15,709.69,342.22
152.34,293.92,384.8,430.57,1193.79,763.12,510.51
238.38,144.75,509.33,523.71,879.04,1011.19,377.92
368.31,355.1,639.31,527.18,943.69,609.63,608.31
270.17,0,0,0,583.36,747.03,737.6
0,750.89,0,494.52,943.7,477.45,447.75
90,428.43,267.56,479.88,931.56,1166.55,379.17
78.55,116.93,429.43,619.88,1133,1113.76,417.25
187.44,202.53,251.8,478.95,1540.86,822,637.82
243.1,282.95,371.74,605.27,1145.23,1087.9,875.07
0,117.89,361.47,687.38,1223.15,772.35,371.39
157.81,258.14,436.4,524.18,958.33,1032.46,684.68
353.66,77.22,191.08,393.15,1519.96,931.63,398.89
168.92,440.94,373.06,597.82,1237.2,1165.75,586.74
284.2,231.2,427.37,352.27,1401.31,736.33,464.6
160,367.46,377.21,541.79,1266.93,891.32,616.61
182.39,344.56,262.87,413.8,1166.1,812.24,361.04
211.21,409.91,364.15,672.61,1259.57,1333.99,354.47
154.74,349.63,441.82,549.48,1504.95,962.08,293.23
198.19,384.69,415.93,430.41,1363,946.82,615.91
77.42,625.7,488.48,513.91,1050.6,893.16,0
0,298.9,403.62,260.51,1235.49,1510.67,535.44
275.42,252.31,507.76,564.08,1468.46,928.11,735.46
260.34,250.98,344.99,568.06,1238.2,856.28,646.64
172.58,214.52,323.03,511.72,1396.13,691.75,360.16
460.19,451.9,294.73,489.38,1240.8,522.01,639.18
129.62,351.16,621.29,562.72,1233.02,1203.46,565.23
172.45,349.2,286.4,700.9,1233.21,602.35,536.33
76.98,300,371.38,671.92,1214.61,1178.66,640.67
